trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
213,False,"{'a': 0.01, 'e': 0.11883729385240965}",20,3,19.886069297464765,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.01, 'e': 0.11765484302177918}",20,0,-9.384313430950087,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
215,False,"{'a': 0.01, 'e': 0.11648415777349697}",20,0,-23.30877157431329,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
216,False,"{'a': 0.01, 'e': 0.11532512103806251}",25,2,9.235715900618843,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
217,False,"{'a': 0.01, 'e': 0.1141776169108365}",20,0,25.862066138570167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
218,False,"{'a': 0.01, 'e': 0.11304153064044985}",30,0,-3.1179749231763187,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
219,False,"{'a': 0.01, 'e': 0.11191674861732888}",35,9,49.12546766462038,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.01, 'e': 0.11080315836233387}",20,8,19.046507116511883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.01, 'e': 0.10970064851551141}",25,12,12.17210533149646,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.01, 'e': 0.10860910882495796}",25,0,15.456147752318062,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
223,False,"{'a': 0.01, 'e': 0.10752843013579495}",20,0,19.65159647254563,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
224,False,"{'a': 0.01, 'e': 0.1064585043792528}",25,9,26.45462858806337,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.01, 'e': 0.10539922456186433}",25,13,23.49439244475158,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.01, 'e': 0.104350484754765}",25,0,-23.61482986484025,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
227,False,"{'a': 0.01, 'e': 0.1033121800831002}",25,14,13.173866257441613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.01, 'e': 0.10228420671553744}",20,14,11.355246291965324,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.01, 'e': 0.1012664618538834}",25,6,32.60364618798551,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.01, 'e': 0.1002588437228037}",25,13,8.484857019278842,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.01, 'e': 0.09926125155964566}",30,0,37.43358908320943,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
232,False,"{'a': 0.01, 'e': 0.09827358560436154}",20,16,6.869201539845369,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.01, 'e': 0.09729574708953276}",20,0,-10.89453454488086,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
234,False,"{'a': 0.01, 'e': 0.09632763823049303}",20,8,-3.0246689942808933,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.01, 'e': 0.09536916221554961}",30,16,29.841392675869006,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.01, 'e': 0.09442022319630235}",25,17,14.017047044927141,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.01, 'e': 0.09348072627805847}",20,0,-17.685298882440208,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
238,False,"{'a': 0.01, 'e': 0.09255057751034329}",35,0,40.19122231794597,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
239,False,"{'a': 0.01, 'e': 0.09162968387750484}",25,7,19.448745221194443,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.01, 'e': 0.09071795328941251}",30,0,28.83996332521942,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
241,False,"{'a': 0.01, 'e': 0.08981529457224763}",25,0,36.61083992975445,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
